# Fresnel RO Table								
# SUNNY	CLOUDY	RAINY,	FOGGY	EXTRASUNNY	HURRICANE	EXTRACOLOURS		
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# Midnight
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  1am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  2am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  3am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  4am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  5am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  6am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  7am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  8am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  9am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# 10am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# 11am
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# Midday
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  1pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  2pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  3pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  4pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  5pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  6pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  7pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  8pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		#  9pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# 10pm
0.4	0.4	0.4	0.4	0.4	0.4	0.4		# 11pm
# Specular Power Table (ther higher, the tighter the highlite)								
# SUNNY	CLOUDY	RAINY,	FOGGY	EXTRASUNNY	HURRICANE	EXTRACOLOURS		
25	15	70	10	15	15	18		# Midnight
25	15	70	10	15	15	18		#  1am
25	15	70	10	15	15	18		#  2am
25	15	70	10	15	15	18		#  3am
25	15	70	10	15	15	18		#  4am
25	15	70	10	15	15	18		#  5am
25	15	70	10	15	15	18		#  6am
25	15	70	10	15	15	18		#  7am
25	15	70	10	15	15	18		#  8am
25	15	70	10	15	15	18		#  9am
25	15	70	10	15	15	18		# 10am
25	15	70	10	15	15	18		# 11am
25	15	70	10	15	15	18		# Midday
25	15	70	10	15	15	18		#  1pm
25	15	70	10	15	15	18		#  2pm
25	15	70	10	15	15	18		#  3pm
25	15	70	10	15	15	18		#  4pm
25	15	70	10	15	15	18		#  5pm
25	15	70	10	15	15	18		#  6pm
25	15	70	10	15	15	18		#  7pm
25	15	70	10	15	15	18		#  8pm
25	15	70	10	15	15	18		#  9pm
25	15	70	10	15	15	18		# 10pm
25	15	70	10	15	15	18		# 11pm
# Diffuse Colour Modifier Table (Red,Green,Blue,Amount)								
# SUNNY	CLOUDY	RAINY,	FOGGY	EXTRASUNNY	HURRICANE	EXTRACOLOURS		
0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0		# Midnight
0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0		#  1am
0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0		#  2am
0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0		#  3am
0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0	0, 0, 0, 0		#  4am
